,chip_id,num_cloud_pixels_in_label
0,cvzo,97617
1,ahct,148955
2,agzd,262144
3,afct,262144
4,ahlx,165663
5,cstq,134742
6,aiyy,180637
7,aixr,3161
8,cwhm,25104
9,aess,262144
10,ahjz,57597
11,cstj,12713
12,ctzs,262144
13,cucr,179354
14,agxr,115165
15,aiei,145562
16,ahdj,240409
17,aiau,262144
18,aikb,152348
19,aeey,243451
20,csfo,199612
21,afof,141812
22,cvhu,150651
23,aheo,225878
24,aiap,262144
25,agmz,194813
26,agwe,260836
27,aisf,0
28,ahwn,254220
29,cvus,117813
30,aivl,49943
31,afbe,262144
32,agtu,262144
33,cttx,255493
34,agfl,262144
35,aeap,221161
36,csjm,52407
37,cwes,201717
38,agxs,262144
39,agex,262144
40,agjn,262144
41,adxp,262144
42,csbd,178696
43,csxs,54188
44,afga,262144
45,ajjd,69612
46,cutq,201509
47,cubs,73274
48,agca,260797
49,aewm,262144
50,ctqb,262144
51,aizr,207776
52,ctfm,101823
53,agja,262144
54,afuu,208640
55,cryj,163059
56,afpr,189207
57,cwfs,142809
58,cvzm,153263
59,afel,262111
60,cujn,49495
61,cvma,156841
62,cvxn,2487
63,ctbf,0
64,aisz,262144
65,agar,262144
66,agel,262144
67,aejp,36954
68,afxz,202559
69,ahbo,262144
70,aebu,262144
71,ahvu,251899
72,cweo,31255
73,cvjs,146821
74,cveo,4275
75,agfg,261969
76,cslb,171984
77,csjx,6357
78,ctvh,70279
79,aftk,261947
80,agsp,213953
81,ctez,319
82,agnw,262144
83,ctra,73794
84,aicw,149581
85,aeky,24396
86,aesb,262144
87,cutd,47927
88,ahyt,257979
89,cuky,189739
90,cvvr,199402
91,cwgw,100669
92,culr,8000
93,ctpx,244211
94,aigv,248354
95,cskn,37311
96,aeli,258357
97,ajlv,262144
98,aggm,247804
99,cvhr,679
100,aelg,90441
101,ahwr,262144
102,cvcm,241819
103,aevs,262080
104,cvlg,123531
105,csve,191461
106,aiuu,178943
107,ctpe,173448
108,cwcz,3614
109,aijh,95637
110,afqi,262144
111,agyq,262144
112,ahoq,262144
113,aejo,78946
114,aebi,247350
115,ctgl,80239
116,cssf,71819
117,agnq,129393
118,aevl,262144
119,aepv,262144
120,cuuo,162295
121,cvfq,154342
122,afor,218434
123,csga,96306
124,aegb,239889
125,cwbo,31225
126,ctfw,155515
127,agiw,89588
128,aiod,262144
129,cunm,52497
130,aiov,72662
131,aipr,50544
132,cssm,39356
133,aixt,262144
134,agno,262144
135,afys,35212
136,csrr,0
137,agpn,65038
138,ctyg,188
139,agpw,3775
140,aiyo,262144
141,afyr,77555
142,aeqw,109125
143,aezd,262144
144,ahzc,155998
145,ahhr,70003
146,afyo,22987
147,cujp,720
148,csxg,1735
149,ahlr,183847
150,aiat,262144
151,ajbm,132388
152,agkf,190741
153,cuub,144947
154,ctvw,752
155,cuuf,67227
156,aikp,262144
